c_resid,nace_r2,geo,TIME_PERIOD,OBS_VALUE
DOM,I551-I553,ES,2018-01,3122019.0
DOM,I551-I553,ES,2018-02,3704170.0
DOM,I551-I553,ES,2018-03,5123451.0
DOM,I551-I553,ES,2018-04,5142951.0
DOM,I551-I553,ES,2018-05,5242353.0
DOM,I551-I553,ES,2018-06,6445601.0
DOM,I551-I553,ES,2018-07,7472942.0
DOM,I551-I553,ES,2018-08,8867777.0
DOM,I551-I553,ES,2018-09,6219963.0
DOM,I551-I553,ES,2018-10,5260757.0
DOM,I551-I553,ES,2018-11,4189575.0
DOM,I551-I553,ES,2018-12,4238911.0
DOM,I551-I553,ES,2019-01,3127776.0
DOM,I551-I553,ES,2019-02,3805268.0
DOM,I551-I553,ES,2019-03,4770403.0
DOM,I551-I553,ES,2019-04,5698320.0
DOM,I551-I553,ES,2019-05,5703780.0
DOM,I551-I553,ES,2019-06,6954361.0
DOM,I551-I553,ES,2019-07,7835544.0
DOM,I551-I553,ES,2019-08,9309867.0
DOM,I551-I553,ES,2019-09,6132142.0
DOM,I551-I553,ES,2019-10,5196101.0
DOM,I551-I553,ES,2019-11,4237770.0
DOM,I551-I553,ES,2019-12,4319005.0
DOM,I551-I553,ES,2020-01,3360783.0
DOM,I551-I553,ES,2020-02,4260010.0
DOM,I551-I553,ES,2020-03,1623627.0
DOM,I551-I553,ES,2020-04,0.0
DOM,I551-I553,ES,2020-05,123622.0
DOM,I551-I553,ES,2020-06,1397705.0
DOM,I551-I553,ES,2020-07,5185852.0
DOM,I551-I553,ES,2020-08,7272421.0
DOM,I551-I553,ES,2020-09,4064841.0
DOM,I551-I553,ES,2020-10,2517349.0
DOM,I551-I553,ES,2020-11,1073258.0
DOM,I551-I553,ES,2020-12,1345927.0
DOM,I551-I553,ES,2021-01,1031452.0
DOM,I551-I553,ES,2021-02,1105653.0
DOM,I551-I553,ES,2021-03,1844450.0
DOM,I551-I553,ES,2021-04,2153849.0
DOM,I551-I553,ES,2021-05,3507766.0
DOM,I551-I553,ES,2021-06,5898683.0
DOM,I551-I553,ES,2021-07,8645505.0
DOM,I551-I553,ES,2021-08,10454796.0
DOM,I551-I553,ES,2021-09,6649042.0
DOM,I551-I553,ES,2021-10,5916291.0
DOM,I551-I553,ES,2021-11,3860871.0
DOM,I551-I553,ES,2021-12,3950424.0
DOM,I551-I553,ES,2022-01,2817993.0
DOM,I551-I553,ES,2022-02,3805867.0
DOM,I551-I553,ES,2022-03,4102238.0
DOM,I551-I553,ES,2022-04,6290524.0
DOM,I551-I553,ES,2022-05,6032463.0
DOM,I551-I553,ES,2022-06,7509506.0
DOM,I551-I553,ES,2022-07,8858115.0
DOM,I551-I553,ES,2022-08,9680490.0
DOM,I551-I553,ES,2022-09,6793109.0
DOM,I551-I553,ES,2022-10,5863103.0
DOM,I551-I553,ES,2022-11,4187080.0
DOM,I551-I553,ES,2022-12,4376945.0
FOR,I551-I553,ES,2018-01,2889578.0
FOR,I551-I553,ES,2018-02,3156707.0
FOR,I551-I553,ES,2018-03,4072074.0
FOR,I551-I553,ES,2018-04,5215234.0
FOR,I551-I553,ES,2018-05,6911855.0
FOR,I551-I553,ES,2018-06,7220851.0
FOR,I551-I553,ES,2018-07,7993490.0
FOR,I551-I553,ES,2018-08,8067942.0
FOR,I551-I553,ES,2018-09,7421137.0
FOR,I551-I553,ES,2018-10,6263224.0
FOR,I551-I553,ES,2018-11,3478902.0
FOR,I551-I553,ES,2018-12,3093231.0
FOR,I551-I553,ES,2019-01,2981592.0
FOR,I551-I553,ES,2019-02,3210732.0
FOR,I551-I553,ES,2019-03,4153103.0
FOR,I551-I553,ES,2019-04,5534349.0
FOR,I551-I553,ES,2019-05,7033593.0
FOR,I551-I553,ES,2019-06,7462270.0
FOR,I551-I553,ES,2019-07,8097550.0
FOR,I551-I553,ES,2019-08,8428201.0
FOR,I551-I553,ES,2019-09,7513357.0
FOR,I551-I553,ES,2019-10,6382043.0
FOR,I551-I553,ES,2019-11,3648858.0
FOR,I551-I553,ES,2019-12,3171816.0
FOR,I551-I553,ES,2020-01,3154228.0
FOR,I551-I553,ES,2020-02,3383810.0
FOR,I551-I553,ES,2020-03,1394529.0
FOR,I551-I553,ES,2020-04,0.0
FOR,I551-I553,ES,2020-05,17507.0
FOR,I551-I553,ES,2020-06,151776.0
FOR,I551-I553,ES,2020-07,1530363.0
FOR,I551-I553,ES,2020-08,1673882.0
FOR,I551-I553,ES,2020-09,760881.0
FOR,I551-I553,ES,2020-10,602200.0
FOR,I551-I553,ES,2020-11,322622.0
FOR,I551-I553,ES,2020-12,396850.0
FOR,I551-I553,ES,2021-01,288388.0
FOR,I551-I553,ES,2021-02,239758.0
FOR,I551-I553,ES,2021-03,370760.0
FOR,I551-I553,ES,2021-04,482052.0
FOR,I551-I553,ES,2021-05,1004906.0
FOR,I551-I553,ES,2021-06,1828688.0
FOR,I551-I553,ES,2021-07,3604850.0
FOR,I551-I553,ES,2021-08,4497640.0
FOR,I551-I553,ES,2021-09,4161677.0
FOR,I551-I553,ES,2021-10,4367909.0
FOR,I551-I553,ES,2021-11,2673718.0
FOR,I551-I553,ES,2021-12,2150232.0
FOR,I551-I553,ES,2022-01,1835468.0
FOR,I551-I553,ES,2022-02,2484205.0
FOR,I551-I553,ES,2022-03,3241610.0
FOR,I551-I553,ES,2022-04,4943908.0
